Timestamp,I consent to participating in this research.,What is your primary area of study?,"1. In the past year, was the clothing you bought:","2. In the past year, how often did you buy clothing (including purchases, gifts, and secondhand)?",3. Average price: How much do you typically spend on a single shirt/top? ($),"4. Disposal method: When getting rid of clothes, what do you usually do? ","5. When getting rid of clothes, what is the primary reason for doing so? (Select up to 2)"
2/12/2026 15:38:15,Yes,Engineering,Almost always new,About once a year,15-35,Throw away (Trash/Landfill),"Torn/Broken, Doesn't fit anymore"
2/12/2026 15:40:54,Yes,Engineering,"Mostly new, some secondhand",Every few months,15-35,"Donate (Thrift store, handing down)","Doesn't fit anymore, Don't like it anymore"
2/12/2026 16:01:43,Yes,Engineering,Almost always new,About once per month,15-35,"Donate (Thrift store, handing down)","Doesn't fit anymore, Don't like it anymore"
2/12/2026 16:07:23,Yes,Biological Sciences,Almost always new,Every few months,35-75,"Donate (Thrift store, handing down)","Torn/Broken, Don't like it anymore"
2/12/2026 16:16:21,Yes,Engineering,Almost always new,Every few months,15-35,Throw away (Trash/Landfill),"Torn/Broken, Doesn't fit anymore"
2/12/2026 16:25:10,Yes,Engineering,"Mostly secondhand, some new",About once per month,35-75,"Donate (Thrift store, handing down)","Doesn't fit anymore, Don't like it anymore"
2/12/2026 16:50:57,Yes,Health Sciences,"Mostly secondhand, some new",Every few months,5-15,"Donate (Thrift store, handing down)","Don't like it anymore, Freeing up space"
2/12/2026 16:52:15,Yes,Engineering,"Mostly secondhand, some new",Every few months,5-15,"Donate (Thrift store, handing down)","Doesn't fit anymore, Freeing up space"
2/12/2026 16:56:40,Yes,Engineering,Almost always new,Every few months,15-35,"Donate (Thrift store, handing down)","Doesn't fit anymore, Don't like it anymore"
2/12/2026 16:58:30,Yes,Engineering,Almost always new,Every few months,15-35,"Donate (Thrift store, handing down)","Torn/Broken, Doesn't fit anymore"
2/12/2026 17:00:33,Yes,Engineering,About equal new and secondhand,Every few months,15-35,"Donate (Thrift store, handing down)","Torn/Broken, Doesn't fit anymore"
2/12/2026 17:01:15,Yes,Engineering,"Mostly new, some secondhand",About once per month,15-35,"Donate (Thrift store, handing down)","Doesn't fit anymore, Don't like it anymore"
2/12/2026 17:03:41,Yes,Engineering,Almost always new,Every few years,5-15,"Donate (Thrift store, handing down)",Torn/Broken
2/12/2026 17:07:40,Yes,Engineering,"Mostly new, some secondhand",Every few months,15-35,"Donate (Thrift store, handing down)","Torn/Broken, Doesn't fit anymore"
2/12/2026 17:10:17,Yes,Social Sciences,"Mostly secondhand, some new",About once per month,15-35,"Donate (Thrift store, handing down)","Don't like it anymore, Freeing up space"
2/12/2026 17:24:26,Yes,Fashion,About equal new and secondhand,About once per week or more,5-15,"Donate (Thrift store, handing down)","Doesn't fit anymore, Freeing up space"
2/12/2026 17:25:31,Yes,Physical Sciences,"Mostly new, some secondhand",Every few months,15-35,"Donate (Thrift store, handing down)","Torn/Broken, Don't like it anymore"
2/12/2026 17:35:38,Yes,Engineering,About equal new and secondhand,Every few months,5-15,"Donate (Thrift store, handing down)","Torn/Broken, Doesn't fit anymore"
2/12/2026 17:55:07,Yes,Engineering,Almost always new,About once a year,5-15,Throw away (Trash/Landfill),Torn/Broken
2/12/2026 18:01:38,Yes,Engineering,Almost always new,Every few months,15-35,"Donate (Thrift store, handing down)",Doesn't fit anymore
2/12/2026 18:26:37,Yes,Physical Sciences,"Mostly new, some secondhand",Every few months,15-35,"Donate (Thrift store, handing down)","Doesn't fit anymore, Don't like it anymore"
2/12/2026 18:32:19,Yes,Engineering,"Mostly secondhand, some new",Every few months,0-5,"Donate (Thrift store, handing down)","Doesn't fit anymore, Freeing up space"
2/12/2026 18:33:41,Yes,Social Sciences,"Mostly secondhand, some new",About once per month,15-35,"Donate (Thrift store, handing down)","Doesn't fit anymore, Freeing up space"
2/12/2026 18:35:16,Yes,Biological Sciences,"Mostly new, some secondhand",Every few months,15-35,Throw away (Trash/Landfill),"Torn/Broken, Freeing up space"
2/12/2026 18:39:06,Yes,Physical Sciences,"Mostly new, some secondhand",Every few months,15-35,"Donate (Thrift store, handing down)","Don't like it anymore, Freeing up space"
2/12/2026 18:52:11,Yes,Electrical Engineering - Circuits and Systems,"Mostly new, some secondhand",Every few months,35-75,"Donate (Thrift store, handing down)",Selling for money
2/12/2026 19:02:53,Yes,Social Sciences,"Mostly new, some secondhand",About once per month,15-35,"Donate (Thrift store, handing down)","Doesn't fit anymore, Don't like it anymore"
2/12/2026 19:05:13,Yes,Biological Sciences,Almost always new,Every few months,75+,"Donate (Thrift store, handing down)",Freeing up space
2/12/2026 19:11:30,Yes,Health Sciences,"Mostly new, some secondhand",Every few months,15-35,"Donate (Thrift store, handing down)","Don't like it anymore, Freeing up space"
2/12/2026 19:14:35,Yes,Physical Sciences,"Mostly secondhand, some new",Every few months,5-15,Throw away (Trash/Landfill),"Don't like it anymore, Freeing up space"
2/12/2026 19:36:44,Yes,Social Sciences,Almost always new,About once per month,15-35,"Donate (Thrift store, handing down)","Don't like it anymore, Freeing up space"
2/12/2026 19:43:22,Yes,Social Sciences,"Mostly new, some secondhand",About once per month,15-35,"Donate (Thrift store, handing down)","Don't like it anymore, Selling for money"
2/12/2026 19:51:31,Yes,Social Sciences,Almost always new,About once per month,15-35,"Donate (Thrift store, handing down)","Torn/Broken, Don't like it anymore"
2/12/2026 19:57:59,Yes,Engineering,Almost always new,About once per month,5-15,"Donate (Thrift store, handing down)","Doesn't fit anymore, Freeing up space"
2/12/2026 20:09:54,Yes,Engineering,About equal new and secondhand,Every few months,5-15,"Donate (Thrift store, handing down)","Don't like it anymore, Freeing up space"
2/12/2026 20:10:08,Yes,Arts & Humanities,Almost always new,About once a year,15-35,"Donate (Thrift store, handing down)","Doesn't fit anymore, Don't like it anymore"
2/12/2026 20:28:22,Yes,Physical Sciences,Almost always new,About once per month,15-35,"Donate (Thrift store, handing down)","Don't like it anymore, Freeing up space"
2/12/2026 20:41:29,Yes,Engineering,Almost always new,Every few years,15-35,"Donate (Thrift store, handing down)",Torn/Broken
2/12/2026 20:52:56,Yes,Engineering,Almost always new,Every few years,15-35,"Donate (Thrift store, handing down)","Doesn't fit anymore, Freeing up space"
2/12/2026 21:28:16,Yes,Finance,"Mostly new, some secondhand",About once per month,35-75,"Donate (Thrift store, handing down)","Torn/Broken, Doesn't fit anymore"
2/12/2026 21:30:56,Yes,Cognitive Science,Almost always new,About once per month,15-35,"Donate (Thrift store, handing down)","Doesn't fit anymore, Don't like it anymore"
2/12/2026 21:36:03,Yes,Engineering,Almost always new,About once a year,35-75,"Donate (Thrift store, handing down)","Don't like it anymore, Freeing up space"
2/12/2026 21:36:05,Yes,Engineering,Almost always new,Every few months,5-15,Throw away (Trash/Landfill),Torn/Broken
2/12/2026 21:36:13,Yes,Engineering,Almost always new,About once per month,35-75,"Donate (Thrift store, handing down)","Doesn't fit anymore, Don't like it anymore"
2/12/2026 21:36:25,Yes,Engineering,"Mostly new, some secondhand",About once per month,15-35,Keep them in my closet,I don't
2/12/2026 21:36:29,Yes,Engineering,"Mostly new, some secondhand",About once per month,15-35,"Donate (Thrift store, handing down)","Torn/Broken, Doesn't fit anymore"
2/12/2026 21:36:41,Yes,Engineering,"Mostly new, some secondhand",About once a year,15-35,"Donate (Thrift store, handing down)","Doesn't fit anymore, Don't like it anymore"
2/12/2026 21:37:49,Yes,Engineering,Almost always new,About once a year,0-5,Used for cleaning and soaking up spills,"Torn/Broken, heavily stained"
2/12/2026 21:38:12,Yes,Engineering,Almost always new,Every few months,15-35,Keep it,"Torn/Broken, Doesn't fit anymore"
2/12/2026 21:40:13,Yes,Engineering,"Mostly secondhand, some new",About once a year,15-35,"Donate (Thrift store, handing down)","Torn/Broken, Doesn't fit anymore"
2/12/2026 21:40:33,Yes,Arts & Humanities,"Mostly secondhand, some new",Every few months,5-15,"Donate (Thrift store, handing down)",Freeing up space
2/12/2026 21:55:54,Yes,Engineering,"Mostly new, some secondhand",Every few months,15-35,"Donate (Thrift store, handing down)","Doesn't fit anymore, Don't like it anymore"
2/12/2026 22:07:34,Yes,Physical Sciences,Almost always new,Every few months,35-75,"Donate (Thrift store, handing down)",Doesn't fit anymore
2/12/2026 22:08:28,Yes,Engineering,Almost always new,About once a year,15-35,"Donate/hand down, but I very rarely get rid of clothes and my wardrobe has not changed much for 4 years.",Doesn't fit anymore
2/12/2026 22:44:12,Yes,Communications ,Almost always new,Every few months,15-35,"Donate (Thrift store, handing down)",Torn/Broken
2/12/2026 22:45:48,Yes,Social Sciences,Almost always new,Every few months,15-35,"Donate (Thrift store, handing down)","Doesn't fit anymore, Don't like it anymore"
2/12/2026 23:14:49,Yes,Biological Sciences,About equal new and secondhand,Every few months,15-35,"Donate (Thrift store, handing down)","Doesn't fit anymore, Don't like it anymore"
2/12/2026 23:17:21,Yes,Social Sciences,About equal new and secondhand,Every few months,35-75,"Donate (Thrift store, handing down)","Don't like it anymore, Freeing up space"
2/12/2026 23:38:06,Yes,Engineering,Almost always new,Every few months,5-15,"Donate (Thrift store, handing down)","Torn/Broken, Doesn't fit anymore"
2/12/2026 23:38:25,Yes,Engineering,"Mostly secondhand, some new",Every few months,15-35,"Donate (Thrift store, handing down)","Doesn't fit anymore, Freeing up space"
2/12/2026 23:57:11,Yes,Engineering,"Mostly new, some secondhand",About once a year,15-35,"Donate (Thrift store, handing down)","Don't like it anymore, Freeing up space"
2/13/2026 0:01:11,Yes,Social Sciences,Almost always secondhand,About once per week or more,5-15,"Sell (eBay, yard sale)","Selling for money, Freeing up space"
2/13/2026 0:17:56,Yes,Engineering,Almost always new,Every few months,15-35,Throw away (Trash/Landfill),"Torn/Broken, Doesn't fit anymore"
2/13/2026 3:15:01,Yes,Health Sciences,"Mostly new, some secondhand",Every few months,15-35,"Donate (Thrift store, handing down)","Don't like it anymore, Freeing up space"
2/13/2026 7:02:28,Yes,Social Sciences,"Mostly new, some secondhand",Every few months,15-35,"Sell (eBay, yard sale)","Don't like it anymore, Selling for money"
2/13/2026 7:27:19,Yes,Engineering,Almost always new,Every few months,15-35,"Donate (Thrift store, handing down)","Doesn't fit anymore, Don't like it anymore"
2/13/2026 7:58:02,Yes,Social Sciences,"Mostly secondhand, some new",About once per month,0-5,"Sell (eBay, yard sale)","Doesn't fit anymore, Freeing up space"
2/13/2026 7:59:42,Yes,Esthiology ,"Mostly new, some secondhand",About once per week or more,15-35,"Sell (eBay, yard sale)","Doesn't fit anymore, Don't like it anymore"
2/13/2026 8:32:21,Yes,Social Sciences,About equal new and secondhand,Every few months,15-35,"Donate (Thrift store, handing down)","Don't like it anymore, Freeing up space"
2/13/2026 9:23:00,Yes,Data science,Almost always new,Every few months,5-15,"Donate (Thrift store, handing down)","Doesn't fit anymore, Don't like it anymore"
2/13/2026 9:32:48,Yes,Engineering,Almost always new,About once a year,5-15,"Donate (Thrift store, handing down)","Don't like it anymore, Selling for money"
2/13/2026 10:07:01,Yes,Engineering,About equal new and secondhand,Every few months,15-35,"Donate (Thrift store, handing down)",Doesn't fit anymore
2/13/2026 10:22:33,Yes,Social Sciences,"Mostly new, some secondhand",About once per month,15-35,"Donate (Thrift store, handing down)","Don't like it anymore, Freeing up space"
2/13/2026 10:43:23,Yes,Biological Sciences,"Mostly secondhand, some new",Every few months,15-35,"Sell (eBay, yard sale)","Doesn't fit anymore, Freeing up space"
2/13/2026 10:50:36,Yes,Physical Sciences,"Mostly new, some secondhand",Every few months,15-35,"Donate (Thrift store, handing down)","Torn/Broken, Doesn't fit anymore"
2/13/2026 11:21:17,Yes,Engineering,Almost always new,Every few months,35-75,Throw away (Trash/Landfill),Torn/Broken
2/13/2026 11:35:46,Yes,Engineering,"Mostly new, some secondhand",Every few months,15-35,"Donate (Thrift store, handing down)","Torn/Broken, Freeing up space"
2/13/2026 11:47:17,Yes,Biological Sciences,"Mostly new, some secondhand",Every few years,5-15,"Donate (Thrift store, handing down)","Torn/Broken, Freeing up space"
2/13/2026 12:00:02,Yes,Health Sciences,Almost always new,Every few months,15-35,"Sell (eBay, yard sale)","Doesn't fit anymore, Don't like it anymore"
2/13/2026 13:52:33,Yes,Education ,Almost always new,About once per month,15-35,"Donate (Thrift store, handing down)","Don't like it anymore, Freeing up space"
2/13/2026 15:00:30,Yes,Social Sciences,"Mostly new, some secondhand",Every few months,15-35,"Donate (Thrift store, handing down)","Don't like it anymore, Freeing up space"
2/13/2026 15:13:20,Yes,Social Sciences,"Mostly new, some secondhand",Every few months,15-35,"Donate (Thrift store, handing down)","Torn/Broken, Doesn't fit anymore"
2/13/2026 15:16:28,Yes,Biological Sciences,Almost always new,About once a year,5-15,"Donate (Thrift store, handing down)","Torn/Broken, Doesn't fit anymore"
2/13/2026 16:00:06,Yes,Biological Sciences,Almost always secondhand,Every few months,5-15,I cut it up into scrap fabric for my sewing projects,"Don't like it anymore, Freeing up space"
2/13/2026 16:00:17,Yes,Social Sciences,"Mostly new, some secondhand",About once a year,15-35,"Sell (eBay, yard sale)","Selling for money, Freeing up space"
2/13/2026 16:00:20,Yes,Social Sciences,Almost always new,About once a year,15-35,"Donate (Thrift store, handing down)","Don't like it anymore, Freeing up space"
2/13/2026 16:00:22,Yes,Social Sciences,Almost always new,Every few months,15-35,"Donate (Thrift store, handing down)","Don't like it anymore, Freeing up space"
2/13/2026 16:03:26,Yes,Social Sciences,"Mostly secondhand, some new",About once per week or more,5-15,"Sell (eBay, yard sale)",Don't like it anymore
2/13/2026 16:32:13,Yes,Engineering,Almost always new,Every few months,5-15,"Donate (Thrift store, handing down)","Doesn't fit anymore, Don't like it anymore"
2/13/2026 16:41:34,Yes,computer science,Almost always new,Every few years,35-75,Throw away (Trash/Landfill),"Doesn't fit anymore, Freeing up space"
2/13/2026 16:54:27,Yes,Biological Sciences,"Mostly secondhand, some new",About once per month,15-35,"Donate (Thrift store, handing down)","Selling for money, Freeing up space"
2/13/2026 17:09:57,Yes,Social Sciences,Almost always new,About once per month,15-35,"Donate (Thrift store, handing down)","Torn/Broken, Doesn't fit anymore"
2/13/2026 17:12:26,Yes,Social Sciences,"Mostly new, some secondhand",Every few months,15-35,"Donate (Thrift store, handing down)","Doesn't fit anymore, Freeing up space"
2/13/2026 17:36:33,Yes,Social Sciences,About equal new and secondhand,About once per week or more,15-35,"Sell (eBay, yard sale)","Doesn't fit anymore, Don't like it anymore"
2/13/2026 18:36:58,Yes,Physical Sciences,"Mostly secondhand, some new",About once per month,5-15,"Donate (Thrift store, handing down)","Doesn't fit anymore, Don't like it anymore"
2/13/2026 19:20:36,Yes,Engineering,Almost always new,Every few months,15-35,"Sell (eBay, yard sale)","Don't like it anymore, Freeing up space"
2/13/2026 21:21:42,Yes,Health Sciences,Almost always new,Every few months,5-15,"Donate (Thrift store, handing down)","Doesn't fit anymore, Freeing up space"
2/13/2026 22:57:13,Yes,Social Sciences,Almost always secondhand,Every few months,0-5,"Donate (Thrift store, handing down)","Doesn't fit anymore, Don't like it anymore"
2/14/2026 12:12:00,Yes,Engineering,Almost always new,Every few years,15-35,"Donate (Thrift store, handing down)","Torn/Broken, Doesn't fit anymore"
2/14/2026 12:14:08,Yes,Engineering,Almost always new,Every few months,15-35,Throw away (Trash/Landfill),"Doesn't fit anymore, Freeing up space"
2/14/2026 13:43:01,Yes,Cognitive Scientist,"Mostly new, some secondhand",About once per month,5-15,"Donate (Thrift store, handing down)","Doesn't fit anymore, Don't like it anymore"
2/14/2026 16:52:17,Yes,Engineering,Almost always new,Every few months,5-15,"Donate (Thrift store, handing down)","Torn/Broken, Doesn't fit anymore"
2/14/2026 18:58:21,Yes,Engineering,Almost always new,Every few months,5-15,"Donate (Thrift store, handing down)","Doesn't fit anymore, Freeing up space"
2/14/2026 19:44:45,Yes,Arts & Humanities,"Mostly secondhand, some new",About once per month,5-15,"Donate (Thrift store, handing down)","Doesn't fit anymore, Don't like it anymore"
2/14/2026 23:14:19,Yes,Social Sciences,Almost always new,Every few months,35-75,"Donate (Thrift store, handing down)","Torn/Broken, Don't like it anymore"
2/15/2026 15:48:35,Yes,Biological Sciences,Almost always new,Every few months,15-35,"Donate (Thrift store, handing down)","Torn/Broken, Doesn't fit anymore"
2/15/2026 15:55:27,Yes,Engineering,About equal new and secondhand,About once per month,5-15,"Donate (Thrift store, handing down)","Torn/Broken, Freeing up space"
2/15/2026 16:51:10,Yes,Social Sciences,"Mostly new, some secondhand",Every few months,15-35,"Donate (Thrift store, handing down)","Doesn't fit anymore, Don't like it anymore"
2/15/2026 16:57:31,Yes,Biological Sciences,Almost always new,Every few months,15-35,"Donate (Thrift store, handing down)","Don't like it anymore, Freeing up space"
2/15/2026 17:02:25,Yes,Engineering,Almost always new,Every few months,15-35,"Donate (Thrift store, handing down)","Torn/Broken, Don't like it anymore"
2/16/2026 2:20:05,Yes,Health Sciences,"Mostly new, some secondhand",Every few months,15-35,"Donate (Thrift store, handing down)","Don't like it anymore, Stained "
2/16/2026 11:59:42,Yes,Social Sciences,Almost always new,Every few months,5-15,"Donate (Thrift store, handing down)","Doesn't fit anymore, Don't like it anymore"
2/16/2026 12:27:23,Yes,Biological Sciences,Almost always new,Every few months,5-15,"Donate (Thrift store, handing down)","Don't like it anymore, Freeing up space"
2/16/2026 14:33:24,Yes,Engineering,"Mostly new, some secondhand",Every few months,15-35,"I cut it up and use it as patches/other sewing projects, not sure what this counts as","Torn/Broken, Doesn't fit anymore"
2/16/2026 15:29:43,Yes,Biological Sciences,"Mostly new, some secondhand",Every few months,5-15,"Donate (Thrift store, handing down)","Doesn't fit anymore, Selling for money"
2/16/2026 17:41:07,Yes,Engineering,Almost always secondhand,Every few months,15-35,"Donate (Thrift store, handing down)","Doesn't fit anymore, Don't like it anymore"
2/17/2026 0:01:10,Yes,Social Sciences,Almost always new,About once per month,15-35,"Donate (Thrift store, handing down)","Don't like it anymore, Freeing up space"
2/17/2026 14:41:04,Yes,Physical Sciences,Almost always new,Every few years,15-35,Throw away (Trash/Landfill),Torn/Broken
2/18/2026 2:18:59,Yes,Social Sciences,Almost always new,About once per month,15-35,"Donate (Thrift store, handing down)","Doesn't fit anymore, Don't like it anymore"
2/18/2026 14:33:05,Yes,Engineering,Almost always new,Every few months,15-35,"Donate (Thrift store, handing down)","Don't like it anymore, Freeing up space"
2/18/2026 14:54:49,Yes,Engineering,"Mostly secondhand, some new",About once a year,5-15,"Donate (Thrift store, handing down)","Torn/Broken, Doesn't fit anymore"
2/18/2026 22:36:01,Yes,Social Sciences,"Mostly new, some secondhand",Every few months,15-35,"Donate (Thrift store, handing down)","Torn/Broken, Doesn't fit anymore"
2/19/2026 0:05:14,Yes,Physical Sciences,"Mostly new, some secondhand",About once a year,15-35,"Donate (Thrift store, handing down)","Torn/Broken, Doesn't fit anymore"
2/19/2026 0:05:39,Yes,Physical Sciences,"Mostly new, some secondhand",About once per month,15-35,"Donate (Thrift store, handing down)","Doesn't fit anymore, Don't like it anymore"
2/19/2026 12:55:43,Yes,Health Sciences,"Mostly secondhand, some new",About once per week or more,0-5,"Donate (Thrift store, handing down)","Don't like it anymore, Freeing up space"
2/19/2026 15:07:45,Yes,Biological Sciences,About equal new and secondhand,Every few months,15-35,"Donate (Thrift store, handing down)","Torn/Broken, Doesn't fit anymore"
2/19/2026 15:58:52,Yes,"I don't think I'm your target demographic, because your FORCED and UNAPPLICABLE selection below already excludes me, since I did NOT buy any clothes the past year. For context, I grew up like her youtu.be/-kNZsrlct9s home schooled and spending 99% of my time at my family's shooting range, now I work full time at another shooting range, where I also have my entire social life, and study for my degree in the morning, from home, since I open carry a firearm, and my university campus is a ""gun free zone"" (thus I cannot go there). So, I exclusively wear 5.11Tactical woman apparel, same black shirts, pants and boots every single day, for years, until utterly destroyed, then I simply rebuy the exact same, at my local gun store's clothes section.",Almost always new,Every few years,75+,I reuse them as cleaning cloths for my firearms.,Torn/Broken
2/19/2026 18:19:41,Yes,Engineering,Almost always new,About once a year,15-35,I haven’t needed to yet,Ditto 
2/19/2026 18:46:30,Yes,Biological Sciences,Almost always new,About once a year,5-15,Throw away (Trash/Landfill),Torn/Broken
2/19/2026 20:34:19,Yes,Social Sciences,About equal new and secondhand,Every few months,15-35,"Donate (Thrift store, handing down)","Torn/Broken, Doesn't fit anymore"
2/20/2026 1:46:22,Yes,Arts & Humanities,"Mostly secondhand, some new",Every few months,5-15,"Sell (eBay, yard sale)","Selling for money, Freeing up space"
2/20/2026 16:24:48,Yes,Commerce ,Almost always new,About once a year,0-5,"Donate (Thrift store, handing down)","Doesn't fit anymore, Freeing up space"
2/20/2026 16:25:16,Yes,Social Sciences,"Mostly secondhand, some new",Every few months,5-15,"Donate (Thrift store, handing down)","Doesn't fit anymore, Don't like it anymore"
2/20/2026 17:31:27,Yes,Social Sciences,Almost always new,About once per month,35-75,"Donate (Thrift store, handing down)",Freeing up space
2/20/2026 20:53:23,Yes,Biological Sciences,"Mostly new, some secondhand",About once per month,15-35,"Donate (Thrift store, handing down)","Doesn't fit anymore, Don't like it anymore"
2/21/2026 18:03:32,Yes,Health Sciences,"Mostly secondhand, some new",About once per month,0-5,Throw away (Trash/Landfill),"Torn/Broken, Doesn't fit anymore"
2/21/2026 19:30:10,Yes,Languages and Cultures,Almost always new,Every few months,15-35,"Donate (Thrift store, handing down)",Freeing up space
2/21/2026 20:48:36,Yes,Social Sciences,Almost always secondhand,Every few months,5-15,"Donate (Thrift store, handing down)","Torn/Broken, Freeing up space"
2/21/2026 22:14:07,Yes,Engineering,Almost always new,Every few years,5-15,Donate when I was growing up and now I just were until torn so I'm prob gonna end up throwing away or somehow recycle,"Torn/Broken, Doesn't fit anymore"
2/21/2026 23:47:03,Yes,Health Sciences,"Mostly secondhand, some new",Every few months,0-5,"Donate (Thrift store, handing down)","Doesn't fit anymore, Don't like it anymore"
2/22/2026 0:05:17,Yes,Health Sciences,About equal new and secondhand,About once per month,15-35,"Donate (Thrift store, handing down)","Doesn't fit anymore, Selling for money"
2/22/2026 0:42:59,Yes,Arts & Humanities,"Mostly new, some secondhand",About once per month,15-35,"Donate (Thrift store, handing down)","Torn/Broken, Don't like it anymore"
2/22/2026 0:43:25,Yes,Health Sciences,"Mostly new, some secondhand",Every few months,15-35,"Donate (Thrift store, handing down)","Torn/Broken, Doesn't fit anymore"
2/23/2026 10:02:48,Yes,Social Sciences,"Mostly new, some secondhand",Every few months,15-35,"Donate (Thrift store, handing down)","Doesn't fit anymore, Don't like it anymore"
2/23/2026 10:02:50,Yes,Machine learning ,Almost always new,Every few months,35-75,"Donate (Thrift store, handing down)","Doesn't fit anymore, Freeing up space"
2/23/2026 10:02:51,Yes,Social Sciences,About equal new and secondhand,Every few months,15-35,"Donate (Thrift store, handing down)","Torn/Broken, Don't like it anymore"
2/23/2026 10:02:54,Yes,Social Sciences,"Mostly new, some secondhand",Every few months,5-15,"Sell (eBay, yard sale)","Torn/Broken, Doesn't fit anymore"
2/23/2026 10:02:56,Yes,Math-CS,Almost always new,Every few months,35-75,"Donate (Thrift store, handing down)","Doesn't fit anymore, Don't like it anymore"
2/23/2026 10:02:59,Yes,Physical Sciences,Almost always new,Every few years,15-35,"Donate (Thrift store, handing down)","Torn/Broken, Doesn't fit anymore"
2/23/2026 10:03:00,Yes,Engineering,"Mostly new, some secondhand",Every few months,15-35,"Donate (Thrift store, handing down)","Torn/Broken, Doesn't fit anymore"
2/23/2026 10:03:02,Yes,Social Sciences,Almost always new,Every few months,15-35,"Donate (Thrift store, handing down)","Doesn't fit anymore, Don't like it anymore"
2/23/2026 10:03:03,Yes,Engineering,"Mostly new, some secondhand",Every few months,15-35,"Donate (Thrift store, handing down)","Torn/Broken, Freeing up space"
2/23/2026 10:03:05,Yes,Social Sciences,"Mostly new, some secondhand",Every few months,15-35,"Donate (Thrift store, handing down)","Doesn't fit anymore, Don't like it anymore"
2/23/2026 10:03:06,Yes,Engineering,Almost always secondhand,About once a year,5-15,Throw away (Trash/Landfill),Don't like it anymore
2/23/2026 10:03:07,Yes,Engineering,About equal new and secondhand,About once a year,5-15,Throw away (Trash/Landfill),"Torn/Broken, Doesn't fit anymore"
2/23/2026 10:03:10,Yes,Social Sciences,"Mostly secondhand, some new",Every few months,5-15,"Donate (Thrift store, handing down)","Torn/Broken, Doesn't fit anymore"
2/23/2026 10:03:10,Yes,Social Sciences,"Mostly new, some secondhand",Every few months,15-35,"Donate (Thrift store, handing down)","Torn/Broken, Doesn't fit anymore"
2/23/2026 10:03:11,Yes,Engineering,Almost always new,Every few months,5-15,"Donate (Thrift store, handing down)",Doesn't fit anymore
2/23/2026 10:03:15,Yes,Arts & Humanities,Almost always new,About once per month,15-35,"Donate (Thrift store, handing down)","Doesn't fit anymore, Don't like it anymore"
2/23/2026 10:03:16,Yes,Computer Science,"Mostly new, some secondhand",About once per month,5-15,"Donate (Thrift store, handing down)","Doesn't fit anymore, Freeing up space"
2/23/2026 10:03:17,Yes,Engineering,Almost always new,Every few months,15-35,Throw away (Trash/Landfill),"Torn/Broken, Freeing up space"
2/23/2026 10:03:17,Yes,Engineering,Almost always new,About once a year,5-15,Throw away (Trash/Landfill),"Torn/Broken, Doesn't fit anymore"
2/23/2026 10:03:17,Yes,Engineering,Almost always new,About once per week or more,35-75,"Donate (Thrift store, handing down)","Don't like it anymore, Freeing up space"
2/23/2026 10:03:18,Yes,Engineering,"Mostly new, some secondhand",Every few months,15-35,"Donate (Thrift store, handing down)","Don't like it anymore, Selling for money"
2/23/2026 10:03:18,Yes,Engineering,Almost always new,Every few months,15-35,"Donate (Thrift store, handing down)","Torn/Broken, Doesn't fit anymore"
2/23/2026 10:03:22,Yes,Social Sciences,"Mostly secondhand, some new",Every few months,5-15,"Donate (Thrift store, handing down)","Don't like it anymore, Freeing up space"
